PID,FearRatingAudio,ExpFearConvert,UniqueEvent,AvgHR,HRzScore,Description,Emotions,CodedEmotions,EmotionTypeLimited,EmotionType,EmoTypeCodedNegative,EmotionExtent,RegulationExtent,FearType,FearType
1313,3,4,9,108.17,0.150491155,There was a moment in the haunted house where we had to walk through this inflated pillow thing.,Alert/Attentive,2,Positive,Positive,,4,1,,
1313,3,4,9,108.17,0.150491155,There was a moment in the haunted house where we had to walk through this inflated pillow thing.,Amused/Interested,1,Positive,Positive,Positive,6,1,,
1313,3,4,9,108.17,0.150491155,There was a moment in the haunted house where we had to walk through this inflated pillow thing.,Tense,12,Negative,Negative,Negative,5,4,,
1313,3,4,9,108.17,0.150491155,There was a moment in the haunted house where we had to walk through this inflated pillow thing.,Fearful/Afraid*,13,,Negative,Negative,4,4,,0
1313,,,10,97.97,-0.929493265,At the very beginning a cast woman told us the rules about the haunted house and another cast member joined her near the end.,Amused/Interested,1,Positive,Positive,Positive,7,1,,
1313,,,10,97.97,-0.929493265,At the very beginning a cast woman told us the rules about the haunted house and another cast member joined her near the end.,Excited/Enthused,3,Positive,Positive,Positive,7,1,,
1313,,,10,97.97,-0.929493265,At the very beginning a cast woman told us the rules about the haunted house and another cast member joined her near the end.,Fearful/Afraid*,13,,Negative,Negative,1,1,,0
1317,3,4,11,119.16,0.817445069,"While wearing 3D glasses, there were strobe lights and colorful spiders.",Alert/Attentive,2,Positive,Positive,,6,1,,
1317,3,4,11,119.16,0.817445069,"While wearing 3D glasses, there were strobe lights and colorful spiders.",Amused/Interested,1,Positive,Positive,Positive,7,1,,
1317,3,4,11,119.16,0.817445069,"While wearing 3D glasses, there were strobe lights and colorful spiders.",Excited/Enthused,3,Positive,Positive,Positive,6,1,,
1317,3,4,11,119.16,0.817445069,"While wearing 3D glasses, there were strobe lights and colorful spiders.",Nervous/Jittery,8,Negative,Negative,Negative,5,1,,
1317,3,4,11,119.16,0.817445069,"While wearing 3D glasses, there were strobe lights and colorful spiders.",Shocked/Surprised,11,Negative,Negative,Negative,3,1,,
1317,3,4,11,119.16,0.817445069,"While wearing 3D glasses, there were strobe lights and colorful spiders.",Fearful/Afraid*,13,,Negative,Negative,2,1,,0
1317,2,2.5,12,123.15,1.218787132,"It reminded me of Auschwitz walking down the prison with the strobe lights while holding the rope with the other participants, feel genuinely afraid and looking out for people to pop up.",Alert/Attentive,2,Positive,Positive,,7,1,,
1317,2,2.5,12,123.15,1.218787132,"It reminded me of Auschwitz walking down the prison with the strobe lights while holding the rope with the other participants, feel genuinely afraid and looking out for people to pop up.",Nervous/Jittery,8,Negative,Negative,Negative,5,7,,
1317,2,2.5,12,123.15,1.218787132,"It reminded me of Auschwitz walking down the prison with the strobe lights while holding the rope with the other participants, feel genuinely afraid and looking out for people to pop up.",Fearful/Afraid,5,Negative,Negative,Negative,3,5,,1
1317,2,2.5,13,103.29,-0.778870358,There was a haunted school bus with people who looked dead but some dummies were mixed with some quite live actors.,Alert/Attentive,2,Positive,Positive,,4,1,,
1317,2,2.5,13,103.29,-0.778870358,There was a haunted school bus with people who looked dead but some dummies were mixed with some quite live actors.,Fearful/Afraid*,13,,Negative,Negative,1,1,,0
1317,1,1,14,122.46,1.149382114,In the machine shop a volunteer was getting very close to a big chainsaw.,Alert/Attentive,2,Positive,Positive,,7,1,,
1317,1,1,14,122.46,1.149382114,In the machine shop a volunteer was getting very close to a big chainsaw.,Amused/Interested,1,Positive,Positive,Positive,6,1,,
1317,1,1,14,122.46,1.149382114,In the machine shop a volunteer was getting very close to a big chainsaw.,Disgusted/Grossed Out,4,Negative,Negative,Negative,3,1,,
1317,1,1,14,122.46,1.149382114,In the machine shop a volunteer was getting very close to a big chainsaw.,Fearful/Afraid*,13,,Negative,Negative,2,1,,0
1317,1,1,15,116.79,0.579053918,It was fun going through the inflatable tunnel.,Amused/Interested,1,Positive,Positive,Positive,5,2,,
1317,1,1,15,116.79,0.579053918,It was fun going through the inflatable tunnel.,Excited/Enthused,3,Positive,Positive,Positive,7,1,,
1317,1,1,15,116.79,0.579053918,It was fun going through the inflatable tunnel.,Shocked/Surprised,11,Negative,Negative,Negative,6,1,,
1317,1,1,15,116.79,0.579053918,It was fun going through the inflatable tunnel.,Fearful/Afraid*,13,,Negative,Negative,7,1,,0
1318,,,16,101.7,-0.806701975,I had fake blood painted on my cheek,Amused/Interested,1,Positive,Positive,Positive,5,1,,
1318,,,16,101.7,-0.806701975,I had fake blood painted on my cheek,Fearful/Afraid*,13,,Negative,Negative,1,1,,0
1318,2,2.5,17,116.92,1.187167944,In either the Blood Yard or the Machine Shop where there was a section where there were sliders on the floor that made it hard to keep balance.,Shocked/Surprised,11,Negative,Negative,Negative,5,4,,
1318,2,2.5,17,116.92,1.187167944,In either the Blood Yard or the Machine Shop where there was a section where there were sliders on the floor that made it hard to keep balance.,Fearful/Afraid*,13,,Negative,Negative,1,1,,0
1318,2,2.5,18,107.17,-0.021922664,"At the beginning of the Infirmary, there was a long dark hallway where people where being moved along on stretchers.",Amused/Interested,1,Positive,Positive,Positive,5,1,,
1318,2,2.5,18,107.17,-0.021922664,"At the beginning of the Infirmary, there was a long dark hallway where people where being moved along on stretchers.",Fearful/Afraid*,13,,Negative,Negative,2,1,,0
1318,2,2.5,19,107.27,-0.007575693,In the Infirmary there was a part where they had hospital beds with nurses operating on people.,Amused/Interested,1,Positive,Positive,Positive,5,1,,
1318,2,2.5,19,107.27,-0.007575693,In the Infirmary there was a part where they had hospital beds with nurses operating on people.,Fearful/Afraid*,13,,Negative,Negative,1,1,,0
1318,2,2.5,20,107,-0.046312514,"In the 4D section, there was a tunnel that made it look like you were spinning when all it really was is that the lights around you were spinning.",Amused/Interested,1,Positive,Positive,Positive,7,1,,
1318,2,2.5,20,107,-0.046312514,"In the 4D section, there was a tunnel that made it look like you were spinning when all it really was is that the lights around you were spinning.",Fearful/Afraid*,13,,Negative,Negative,1,1,,0
1318,2,2.5,21,108.5,0.16889205,In the Blood yard there was a bus full of corpses or zombies.,Amused/Interested,1,Positive,Positive,Positive,5,1,,
1318,2,2.5,21,108.5,0.16889205,In the Blood yard there was a bus full of corpses or zombies.,Fearful/Afraid*,13,,Negative,Negative,1,1,,0
1318,1,1,22,110.81,0.500307079,I think this was in the Breakout section or the Lock Down section but there was a room where you had to pass through 3 or 4 huge inflated balloons that were pressed up against you.,Shocked/Surprised,11,Negative,Negative,Negative,7,4,,
1318,1,1,22,110.81,0.500307079,I think this was in the Breakout section or the Lock Down section but there was a room where you had to pass through 3 or 4 huge inflated balloons that were pressed up against you.,Fearful/Afraid*,13,,Negative,Negative,1,1,,0
1318,1,1,23,110.81,0.500307079,"In the Breakout section, there was a room where the lights were blinking at a set interval making it hard to see.",Alert/Attentive,2,Positive,Positive,,5,1,,
1318,1,1,23,110.81,0.500307079,"In the Breakout section, there was a room where the lights were blinking at a set interval making it hard to see.",Fearful/Afraid*,13,,Negative,Negative,2,1,,0
1329,1,1,24,78.51,-0.036454482,"inflatable walls that pinch your entire body then just your lower half with some people that jump out at you during the ""lower half only"" section.",Amused/Interested,1,Positive,Positive,Positive,7,1,,
1329,1,1,24,78.51,-0.036454482,"inflatable walls that pinch your entire body then just your lower half with some people that jump out at you during the ""lower half only"" section.",Excited/Enthused,3,Positive,Positive,Positive,7,1,,
1329,1,1,24,78.51,-0.036454482,"inflatable walls that pinch your entire body then just your lower half with some people that jump out at you during the ""lower half only"" section.",Fearful/Afraid*,13,,Negative,Negative,1,1,,0
1329,1,1,25,80.02,0.192244965,Tunnel that is spinning with the glowing lights that you walk through that makes it hard to stand straight.,Amused/Interested,1,Positive,Positive,Positive,7,1,,
1329,1,1,25,80.02,0.192244965,Tunnel that is spinning with the glowing lights that you walk through that makes it hard to stand straight.,Excited/Enthused,3,Positive,Positive,Positive,7,1,,
1329,1,1,25,80.02,0.192244965,Tunnel that is spinning with the glowing lights that you walk through that makes it hard to stand straight.,Fearful/Afraid*,13,,Negative,Negative,1,1,,0
1329,1,1,26,79.26,0.077137959,dentist chair that and guy was pulling people into and talking about removing all of their teeth.,Amused/Interested,1,Positive,Positive,Positive,6,1,,
1329,1,1,26,79.26,0.077137959,dentist chair that and guy was pulling people into and talking about removing all of their teeth.,Fearful/Afraid*,13,,Negative,Negative,1,1,,0
1329,1,1,27,83.85,0.772323694,in the machine shop there was a guy that had a giant spinning blade as i was walking first he pushed the blade towards me.,Amused/Interested,1,Positive,Positive,Positive,5,1,,
1329,1,1,27,83.85,0.772323694,in the machine shop there was a guy that had a giant spinning blade as i was walking first he pushed the blade towards me.,Nervous/Jittery,8,Negative,Negative,Negative,3,1,,
1329,1,1,27,83.85,0.772323694,in the machine shop there was a guy that had a giant spinning blade as i was walking first he pushed the blade towards me.,Fearful/Afraid*,13,,Negative,Negative,1,1,,0
1329,1,1,28,83.85,0.772323694,guy above the door that would drop a metal grate down as you walked under to scare people. He scared some people walking in front of me.,Amused/Interested,1,Positive,Positive,Positive,4,1,,
1329,1,1,28,83.85,0.772323694,guy above the door that would drop a metal grate down as you walked under to scare people. He scared some people walking in front of me.,Fearful/Afraid*,13,,Negative,Negative,1,1,,0
1329,1,1,29,80.02,0.192244965,spiders in the glow in the dark room that we painted with orange strips were really cool looking.,Excited/Enthused,3,Positive,Positive,Positive,5,1,,
1329,1,1,29,80.02,0.192244965,spiders in the glow in the dark room that we painted with orange strips were really cool looking.,Fearful/Afraid*,13,,Negative,Negative,1,1,,0
1329,1,1,30,87.59,0.828642723,There was a prisoner in a cage at the very beginning that would pull people into the cages with him and scare them.,Amused/Interested,1,Positive,Positive,Positive,3,1,,
1329,1,1,30,87.59,0.828642723,There was a prisoner in a cage at the very beginning that would pull people into the cages with him and scare them.,Fearful/Afraid*,13,,Negative,Negative,1,1,,0
1329,1,1,31,87.59,0.828642723,moving floor after walking up stairs where the metal bars would shift under your feet. I slipped a little.,Amused/Interested,1,Positive,Positive,Positive,4,1,,
1329,1,1,31,87.59,0.828642723,moving floor after walking up stairs where the metal bars would shift under your feet. I slipped a little.,Excited/Enthused,3,Positive,Positive,Positive,4,1,,
1329,1,1,31,87.59,0.828642723,moving floor after walking up stairs where the metal bars would shift under your feet. I slipped a little.,Fearful/Afraid*,13,,Negative,Negative,1,1,,0
1312,3,4,32,110.29,1.255930691,"Walked through a bus. The bus had strobe lights with people, real and fake. ",Alert/Attentive,2,Positive,Positive,,6,6,,
1312,3,4,32,110.29,1.255930691,"Walked through a bus. The bus had strobe lights with people, real and fake. ",Shocked/Surprised,11,Negative,Negative,Negative,5,3,,
1312,3,4,32,110.29,1.255930691,"Walked through a bus. The bus had strobe lights with people, real and fake. ",Fearful/Afraid,5,Negative,Negative,Negative,5,4,,1
1312,4,5.5,33,100.27,0.282084509,In the infirmary there was a fake body that had a huge thing pop out of the stomach. ,Disgusted/Grossed Out,4,Negative,Negative,Negative,5,1,,
1312,4,5.5,33,100.27,0.282084509,In the infirmary there was a fake body that had a huge thing pop out of the stomach. ,Shocked/Surprised,11,Negative,Negative,Negative,5,1,,
1312,4,5.5,33,100.27,0.282084509,In the infirmary there was a fake body that had a huge thing pop out of the stomach. ,Fearful/Afraid*,13,,Negative,Negative,1,1,,0
1312,3,4,34,110.29,1.255930691,The we walked through the workshop and there was a section that had a shifting floor right at the end.,Amused/Interested,1,Positive,Positive,Positive,7,1,,
1312,3,4,34,110.29,1.255930691,The we walked through the workshop and there was a section that had a shifting floor right at the end.,Shocked/Surprised,11,Negative,Negative,Negative,6,2,,
1312,3,4,34,110.29,1.255930691,The we walked through the workshop and there was a section that had a shifting floor right at the end.,Fearful/Afraid*,13,,Negative,Negative,4,4,,0
1312,4,5.5,35,101.24,0.37635904,Walking through the medical thing were all walked together connected by a piece of gauze. Toward the end there was a doctor with a half dead patient on a stretcher.,Alert/Attentive,2,Positive,Positive,,6,5,,
1312,4,5.5,35,101.24,0.37635904,Walking through the medical thing were all walked together connected by a piece of gauze. Toward the end there was a doctor with a half dead patient on a stretcher.,Fearful/Afraid*,13,,Negative,Negative,1,1,,0
1312,5,7,36,104.29,0.672789265,There was a 3D tunnel that spun around as we walked through.,Alert/Attentive,2,Positive,Positive,,6,1,,
1312,5,7,36,104.29,0.672789265,There was a 3D tunnel that spun around as we walked through.,Amused/Interested,1,Positive,Positive,Positive,6,1,,
1312,5,7,36,104.29,0.672789265,There was a 3D tunnel that spun around as we walked through.,Excited/Enthused,3,Positive,Positive,Positive,6,1,,
1312,5,7,36,104.29,0.672789265,There was a 3D tunnel that spun around as we walked through.,Fearful/Afraid*,13,,Negative,Negative,2,1,,0
1312,2,2.5,37,101.75,0.425926061,Walking through one section the guards had cattle prods.,Alert/Attentive,2,Positive,Positive,,5,2,,
1312,2,2.5,37,101.75,0.425926061,Walking through one section the guards had cattle prods.,Fearful/Afraid*,13,,Negative,Negative,1,1,,0
1312,3,4,38,110.29,1.255930691,At the end of the first section we came out to a circular room that was flooded with fog and there were people creeping behind us.,Alert/Attentive,2,Positive,Positive,,6,6,,
1312,3,4,38,110.29,1.255930691,At the end of the first section we came out to a circular room that was flooded with fog and there were people creeping behind us.,Nervous/Jittery,8,Negative,Negative,Negative,6,3,,
1312,3,4,38,110.29,1.255930691,At the end of the first section we came out to a circular room that was flooded with fog and there were people creeping behind us.,Fearful/Afraid*,13,,Negative,Negative,4,4,,0
1312,4,5.5,39,100.27,0.282084509,At the infirmary the prisoners kept asking for just one body part.,Amused/Interested,1,Positive,Positive,Positive,5,1,,
1312,4,5.5,39,100.27,0.282084509,At the infirmary the prisoners kept asking for just one body part.,Fearful/Afraid*,13,,Negative,Negative,1,1,,0
1312,5,7,40,103.98,0.642660291,In the last section we were led through a dark area that had inflatable wall that closed around you so you couldn't see in front or behind.,Alert/Attentive,2,Positive,Positive,,6,1,,
1312,5,7,40,103.98,0.642660291,In the last section we were led through a dark area that had inflatable wall that closed around you so you couldn't see in front or behind.,Amused/Interested,1,Positive,Positive,Positive,6,1,,
1312,5,7,40,103.98,0.642660291,In the last section we were led through a dark area that had inflatable wall that closed around you so you couldn't see in front or behind.,Nervous/Jittery,8,Negative,Negative,Negative,6,4,,
1312,5,7,40,103.98,0.642660291,In the last section we were led through a dark area that had inflatable wall that closed around you so you couldn't see in front or behind.,Tense,12,Negative,Negative,Negative,6,4,,
1312,5,7,40,103.98,0.642660291,In the last section we were led through a dark area that had inflatable wall that closed around you so you couldn't see in front or behind.,Shocked/Surprised,11,Negative,Negative,Negative,6,1,,
1312,5,7,40,103.98,0.642660291,In the last section we were led through a dark area that had inflatable wall that closed around you so you couldn't see in front or behind.,Fearful/Afraid,5,Negative,Negative,Negative,6,1,,1
1312,5,7,41,104.29,0.672789265,In the 4D section there was a woman painted like the wall that jumped out.,Alert/Attentive,2,Positive,Positive,,6,1,,
1312,5,7,41,104.29,0.672789265,In the 4D section there was a woman painted like the wall that jumped out.,Amused/Interested,1,Positive,Positive,Positive,6,1,,
1312,5,7,41,104.29,0.672789265,In the 4D section there was a woman painted like the wall that jumped out.,Fearful/Afraid*,13,,Negative,Negative,4,2,,0
1314,,,42,80.52,-0.997588985,Waiting in line for the Haunted House to open up. People were walking around and through the line dressed up as we were waiting. ,Alert/Attentive,2,Positive,Positive,,5,4,,
1314,,,42,80.52,-0.997588985,Waiting in line for the Haunted House to open up. People were walking around and through the line dressed up as we were waiting. ,Amused/Interested,1,Positive,Positive,Positive,6,1,,
1314,,,42,80.52,-0.997588985,Waiting in line for the Haunted House to open up. People were walking around and through the line dressed up as we were waiting. ,Excited/Enthused,3,Positive,Positive,Positive,6,1,,
1314,,,42,80.52,-0.997588985,Waiting in line for the Haunted House to open up. People were walking around and through the line dressed up as we were waiting. ,Irritable/Annoyed,7,Negative,Negative,Negative,2,4,,
1314,,,42,80.52,-0.997588985,Waiting in line for the Haunted House to open up. People were walking around and through the line dressed up as we were waiting. ,Nervous/Jittery,8,Negative,Negative,Negative,5,3,,
1314,,,42,80.52,-0.997588985,Waiting in line for the Haunted House to open up. People were walking around and through the line dressed up as we were waiting. ,Tense,12,Negative,Negative,Negative,2,4,,
1314,,,42,80.52,-0.997588985,Waiting in line for the Haunted House to open up. People were walking around and through the line dressed up as we were waiting. ,Fearful/Afraid*,13,,Negative,Negative,1,1,,0
1314,3,4,43,109.11,1.143817821,Walking through the school bus with our group. I remember this distinctly as it was one of the first things we walked through and I was expected people to be hiding in the bus waiting to scare us but there was nobody.,Alert/Attentive,2,Positive,Positive,,7,1,,
1314,3,4,43,109.11,1.143817821,Walking through the school bus with our group. I remember this distinctly as it was one of the first things we walked through and I was expected people to be hiding in the bus waiting to scare us but there was nobody.,Amused/Interested,1,Positive,Positive,Positive,7,1,,
1314,3,4,43,109.11,1.143817821,Walking through the school bus with our group. I remember this distinctly as it was one of the first things we walked through and I was expected people to be hiding in the bus waiting to scare us but there was nobody.,Excited/Enthused,3,Positive,Positive,Positive,6,3,,
1314,3,4,43,109.11,1.143817821,Walking through the school bus with our group. I remember this distinctly as it was one of the first things we walked through and I was expected people to be hiding in the bus waiting to scare us but there was nobody.,Nervous/Jittery,8,Negative,Negative,Negative,6,5,,
1314,3,4,43,109.11,1.143817821,Walking through the school bus with our group. I remember this distinctly as it was one of the first things we walked through and I was expected people to be hiding in the bus waiting to scare us but there was nobody.,Overwhelmed,9,Negative,Negative,Negative,4,4,,
1314,3,4,43,109.11,1.143817821,Walking through the school bus with our group. I remember this distinctly as it was one of the first things we walked through and I was expected people to be hiding in the bus waiting to scare us but there was nobody.,Tense,12,Negative,Negative,Negative,6,5,,
1314,3,4,43,109.11,1.143817821,Walking through the school bus with our group. I remember this distinctly as it was one of the first things we walked through and I was expected people to be hiding in the bus waiting to scare us but there was nobody.,Fearful/Afraid,5,Negative,Negative,Negative,6,6,,1
1314,3,4,44,109.11,1.143817821,Giving our first ranking on a scale of 1-5 how scary the first section of the haunted house was. I remember it being in a big open room with actors still walking around.,Alert/Attentive,2,Positive,Positive,,7,1,,
1314,3,4,44,109.11,1.143817821,Giving our first ranking on a scale of 1-5 how scary the first section of the haunted house was. I remember it being in a big open room with actors still walking around.,Excited/Enthused,3,Positive,Positive,Positive,7,1,,
1314,3,4,44,109.11,1.143817821,Giving our first ranking on a scale of 1-5 how scary the first section of the haunted house was. I remember it being in a big open room with actors still walking around.,Fearful/Afraid*,13,,Negative,Negative,4,4,,0
1314,2,2.5,45,99.51,0.424772514,The machine shop stood out because I remember actors inside with chainsaws. I used to always go to haunted hayrides when I was younger and remember the chainsaws specifically. ,Alert/Attentive,2,Positive,Positive,,7,1,,
1314,2,2.5,45,99.51,0.424772514,The machine shop stood out because I remember actors inside with chainsaws. I used to always go to haunted hayrides when I was younger and remember the chainsaws specifically. ,Shocked/Surprised,11,Negative,Negative,Negative,7,4,,
1314,2,2.5,45,99.51,0.424772514,The machine shop stood out because I remember actors inside with chainsaws. I used to always go to haunted hayrides when I was younger and remember the chainsaws specifically. ,Fearful/Afraid,5,Negative,Negative,Negative,6,5,,1
1314,4,5.5,46,106.38,0.939339312,The 3-D part of the trip was wild and stood out to me. I remember putting on the glasses and reaching for the wall so I could get a sense of how distorted my vision was. I remember one of the female actors telling me not to touch the wall cause it might touch back,Alert/Attentive,2,Positive,Positive,,7,1,,
1314,4,5.5,46,106.38,0.939339312,The 3-D part of the trip was wild and stood out to me. I remember putting on the glasses and reaching for the wall so I could get a sense of how distorted my vision was. I remember one of the female actors telling me not to touch the wall cause it might touch back,Amused/Interested,1,Positive,Positive,Positive,7,1,,
1314,4,5.5,46,106.38,0.939339312,The 3-D part of the trip was wild and stood out to me. I remember putting on the glasses and reaching for the wall so I could get a sense of how distorted my vision was. I remember one of the female actors telling me not to touch the wall cause it might touch back,Overwhelmed,9,Negative,Negative,Negative,6,4,,
1314,4,5.5,46,106.38,0.939339312,The 3-D part of the trip was wild and stood out to me. I remember putting on the glasses and reaching for the wall so I could get a sense of how distorted my vision was. I remember one of the female actors telling me not to touch the wall cause it might touch back,Fearful/Afraid*,13,,Negative,Negative,6,4,,0
1314,4.5,6.25,47,119.99,1.958735837,"The four dimensional room was hard to navigate and I remember specifically not knowing where to go or how to get out of there. I thought we walked into a dead end, but we had to push through big air bags.",Alert/Attentive,2,Positive,Positive,,7,1,,
1314,4.5,6.25,47,119.99,1.958735837,"The four dimensional room was hard to navigate and I remember specifically not knowing where to go or how to get out of there. I thought we walked into a dead end, but we had to push through big air bags.",Excited/Enthused,3,Positive,Positive,Positive,7,1,,
1314,4.5,6.25,47,119.99,1.958735837,"The four dimensional room was hard to navigate and I remember specifically not knowing where to go or how to get out of there. I thought we walked into a dead end, but we had to push through big air bags.",Irritable/Annoyed,7,Negative,Negative,Negative,5,4,,
1314,4.5,6.25,47,119.99,1.958735837,"The four dimensional room was hard to navigate and I remember specifically not knowing where to go or how to get out of there. I thought we walked into a dead end, but we had to push through big air bags.",Nervous/Jittery,8,Negative,Negative,Negative,6,5,,
1314,4.5,6.25,47,119.99,1.958735837,"The four dimensional room was hard to navigate and I remember specifically not knowing where to go or how to get out of there. I thought we walked into a dead end, but we had to push through big air bags.",Shocked/Surprised,11,Negative,Negative,Negative,7,5,,
1314,4.5,6.25,47,119.99,1.958735837,"The four dimensional room was hard to navigate and I remember specifically not knowing where to go or how to get out of there. I thought we walked into a dead end, but we had to push through big air bags.",Fearful/Afraid,5,Negative,Negative,Negative,7,5,,1
1314,4,5.5,48,106.38,0.939339312,"We walked through a spinning tunnel with our 3-D glasses. I still do not know if we were spinning, the tunnel was spinning, or both.",Alert/Attentive,2,Positive,Positive,,7,1,,
1314,4,5.5,48,106.38,0.939339312,"We walked through a spinning tunnel with our 3-D glasses. I still do not know if we were spinning, the tunnel was spinning, or both.",Overwhelmed,9,Negative,Negative,Negative,6,5,,
1314,4,5.5,48,106.38,0.939339312,"We walked through a spinning tunnel with our 3-D glasses. I still do not know if we were spinning, the tunnel was spinning, or both.",Shocked/Surprised,11,Negative,Negative,Negative,5,5,,
1314,4,5.5,48,106.38,0.939339312,"We walked through a spinning tunnel with our 3-D glasses. I still do not know if we were spinning, the tunnel was spinning, or both.",Fearful/Afraid*,13,,Negative,Negative,3,1,,0
1315,2,2.5,49,117.73,0.962610819,Had to go on a bus. Was ordered to go on by a guard. There were fake bodies on the bus and real actors and we couldn't tell which,Alert/Attentive,2,Positive,Positive,,7,1,,
1315,2,2.5,49,117.73,0.962610819,Had to go on a bus. Was ordered to go on by a guard. There were fake bodies on the bus and real actors and we couldn't tell which,Nervous/Jittery,8,Negative,Negative,Negative,7,1,,
1315,2,2.5,49,117.73,0.962610819,Had to go on a bus. Was ordered to go on by a guard. There were fake bodies on the bus and real actors and we couldn't tell which,Tense,12,Negative,Negative,Negative,7,4,,
1315,2,2.5,49,117.73,0.962610819,Had to go on a bus. Was ordered to go on by a guard. There were fake bodies on the bus and real actors and we couldn't tell which,Shocked/Surprised,11,Negative,Negative,Negative,5,2,,
